UID,PHYLUM,CLASS,ORDER,FAMILY,GENUS,TARGET_TAXON,TAXA_ID,TOTAL300,IS_DISTINCT300,LAT_DD83,LON_DD83,STRAH_CAT,EPA_REG,SITE_ID,YEAR,DATE_COL,VISIT_NO,SAMPLE_TYPE,MMI_BENT,BENT_MMI_COND
1002013,ARTHROPODA,INSECTA,COLEOPTERA,DYTISCIDAE,AGABUS,AGABUS,3420,4.0,1.0,39.12843,-95.65402,SmallStreams,Region_7,KSRS-1288,2013,4/30/2013,1,BERW,16.45,Poor
1002014,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,CHIRONOMUS,CHIRONOMUS,3582,5.0,1.0,32.40882122,-111.1606295,RiversOther,Region_9,AZR9-0903,2013,5/6/2013,1,BERW,11.4,Poor
1002015,ARTHROPODA,INSECTA,EPHEMEROPTERA,AMELETIDAE,AMELETUS,AMELETUS,3439,1.0,1.0,34.33749,-111.0138,SmallStreams,Region_9,AZSS-1115,2013,5/7/2013,1,BERW,43.67,Fair
1002016,ARTHROPODA,INSECTA,ODONATA,COENAGRIONIDAE,ARGIA,ARGIA,3476,1.0,1.0,39.49523,-97.2319,RiversMajor,Region_7,KSR9-0910,2013,5/6/2013,1,BERW,22.4,Fair
1002017,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,ABLABESMYIA,ABLABESMYIA,3406,6.0,1.0,34.86995,-112.0693,LargeStreams,Region_9,AZLS-1055,2013,5/8/2013,1,BERW,34.38,Poor
1002018,ARTHROPODA,ARACHNIDA,,,,ARACHNIDA,3472,1.0,1.0,37.17128,-96.84909,LargeStreams,Region_7,KSRS-1270,2013,5/13/2013,1,BERW,24.28,Poor
1002019,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,ABLABESMYIA,ABLABESMYIA,3406,3.0,1.0,37.84409,-96.85665,LargeStreams,Region_7,KSS9-0933,2013,5/14/2013,1,BERW,31.53,Fair
1002020,ARTHROPODA,INSECTA,DIPTERA,CERATOPOGONIDAE,,CERATOPOGONIDAE,3566,,,,,,,AZR9-0903,2013,,2,BERW,,
1002021,ARTHROPODA,MALACOSTRACA,AMPHIPODA,,,AMPHIPODA,3450,1.0,0.0,38.51354,-85.02908,RiversMajor,Region_4,KYRM-1006,2013,5/21/2013,1,BETB,27.8,Poor
1002022,ARTHROPODA,INSECTA,EPHEMEROPTERA,BAETIDAE,,BAETIDAE,3500,3.0,0.0,37.8236,-97.46279,RiversMajor,Region_7,KSR9-0902,2013,5/21/2013,1,BERW,19.3,Poor
1002023,ARTHROPODA,MALACOSTRACA,AMPHIPODA,,,AMPHIPODA,3450,28.0,0.0,38.68588,-85.17831,RiversMajor,Region_4,KYRM-1002,2013,5/22/2013,1,BETB,3.87,Poor
1002024,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,ABLABESMYIA,ABLABESMYIA,3406,1.0,1.0,34.42897768,-82.90527557,SmallStreams,Region_4,GAS9-0921,2013,5/21/2013,1,BERW,10.3,Poor
1002025,ARTHROPODA,INSECTA,PLECOPTERA,NEMOURIDAE,AMPHINEMURA,AMPHINEMURA,3449,,,33.92673274,-85.05046408,SmallStreams,Region_4,GAS9-0915,2013,5/23/2013,1,BERW,8.28,Poor
1002026,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,ABLABESMYIA,ABLABESMYIA,3406,1.0,1.0,40.59864,-79.75119,RiversMajor,Region_3,PARM-1005,2013,5/29/2013,1,BETB,14.83,Poor
1002027,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,ABLABESMYIA,ABLABESMYIA,3406,5.0,1.0,40.14887,-80.70356,RiversMajor,Region_5,OHRM-1002,2013,5/28/2013,1,BETB,6.07,Poor
1002028,ARTHROPODA,INSECTA,EPHEMEROPTERA,CAENIDAE,CAENIS,CAENIS,3542,2.0,1.0,40.76001,-79.54689,RiversMajor,Region_3,PARM-1001,2013,5/29/2013,1,BETB,17.93,Poor
1002029,ARTHROPODA,INSECTA,DIPTERA,TIPULIDAE,ANTOCHA,ANTOCHA,3465,18.0,1.0,41.04212,-74.0473,SmallStreams,Region_2,NJS9-0908,2013,6/2/2013,1,BERW,13.15,Poor
1002030,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,,CRICOTOPUS/ORTHOCLADIUS,3623,9.0,1.0,38.43501,-121.5249,RiversMajor,Region_9,CARM-1007,2013,6/3/2013,1,BETB,9.87,Poor
1002031,ARTHROPODA,MALACOSTRACA,AMPHIPODA,,,AMPHIPODA,3450,3.0,1.0,36.43346223,-111.8640926,RiversMajor,Region_9,AZR9-0902,2013,5/27/2013,1,BETB,29.02,Poor
1002032,ARTHROPODA,MALACOSTRACA,AMPHIPODA,,,AMPHIPODA,3450,2.0,1.0,36.08766461,-111.8706113,RiversMajor,Region_9,AZR9-0901,2013,5/30/2013,1,BETB,21.37,Poor
1002033,ARTHROPODA,MALACOSTRACA,AMPHIPODA,GAMMARIDAE,AMERICOROPHIUM,AMERICOROPHIUM,3442,8.0,1.0,37.90976,-121.3253,RiversMajor,Region_9,CARM-1003,2013,6/4/2013,1,BETB,5.57,Poor
1002034,ARTHROPODA,MALACOSTRACA,AMPHIPODA,,,AMPHIPODA,3450,3.0,0.0,40.75796,-74.16351,RiversOther,Region_2,NJRO-1019,2013,6/4/2013,1,BETB,0.0,Poor
1002035,ARTHROPODA,INSECTA,DIPTERA,CERATOPOGONIDAE,ATRICHOPOGON,ATRICHOPOGON,3491,1.0,1.0,30.57973,-94.99791,RiversMajor,Region_6,TXR9-0907,2013,6/4/2013,1,BETB,37.6,Poor
1002036,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,ABLABESMYIA,ABLABESMYIA,3406,1.0,1.0,32.80115995,-82.92292172,SmallStreams,Region_4,GAS9-0916,2013,6/4/2013,1,BERW,63.47,Good
1002037,ARTHROPODA,INSECTA,COLEOPTERA,DYTISCIDAE,AGABUS,AGABUS,3420,,,40.90226,-96.60626,SmallStreams,Region_7,NES9-0934,2013,6/5/2013,1,BERW,0.0,Poor
1002038,ARTHROPODA,INSECTA,COLEOPTERA,DYTISCIDAE,AGABUS,AGABUS,3420,1.0,1.0,39.35249,-99.83154,RiversOther,Region_7,KSRS-1261,2013,6/5/2013,1,BERW,16.97,Poor
1002039,ANNELIDA,OLIGOCHAETA,HAPLOTAXIDA,TUBIFICIDAE,AULODRILUS,AULODRILUS,3496,,,39.04576,-99.04318,RiversOther,Region_7,KSRS-1277,2013,6/5/2013,1,BERW,40.15,Good
1002040,ARTHROPODA,INSECTA,COLEOPTERA,HYDROPHILIDAE,BEROSUS,BEROSUS,3511,5.0,1.0,35.92582,-99.51525,RiversMajor,Region_6,OKR9-0901,2013,6/3/2013,1,BERW,24.4,Fair
1002041,ARTHROPODA,INSECTA,EPHEMEROPTERA,BAETIDAE,ACENTRELLA,ACENTRELLA,3407,13.0,1.0,41.75655,-77.5552,LargeStreams,Region_3,PALS-1091,2013,6/5/2013,1,BERW,90.87,Good
1002042,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,ABLABESMYIA,ABLABESMYIA,3406,1.0,1.0,40.91547,-74.08986,LargeStreams,Region_2,NJLS-1043,2013,6/5/2013,1,BERW,11.75,Poor
1002043,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,ABLABESMYIA,ABLABESMYIA,3406,5.0,1.0,38.85149,-75.66956,LargeStreams,Region_3,DELS-1036,2013,6/5/2013,1,BERW,32.67,Poor
1002044,ANNELIDA,OLIGOCHAETA,HAPLOTAXIDA,TUBIFICIDAE,AULODRILUS,AULODRILUS,3496,3.0,1.0,41.41566,-98.08897,LargeStreams,Region_7,NES9-0923,2013,6/4/2013,1,BERW,31.65,Fair
1002045,ANNELIDA,OLIGOCHAETA,HAPLOTAXIDA,TUBIFICIDAE,AULODRILUS,AULODRILUS,3496,1.0,1.0,41.67311,-97.67665,LargeStreams,Region_7,NES9-0930,2013,6/3/2013,1,BERW,0.0,Poor
1002046,ARTHROPODA,INSECTA,PLECOPTERA,PERLIDAE,ACRONEURIA,ACRONEURIA,3412,9.0,1.0,,,,,WVRF-0001,2013,,1,BERW,,
1002047,ARTHROPODA,INSECTA,ODONATA,COENAGRIONIDAE,ARGIA,ARGIA,3476,2.0,1.0,35.54539,-99.72271,SmallStreams,Region_6,OKS9-0935,2013,6/4/2013,1,BERW,31.32,Fair
1002048,ARTHROPODA,INSECTA,EPHEMEROPTERA,BAETIDAE,ACENTRELLA,ACENTRELLA,3407,7.0,1.0,41.60763,-77.50377,SmallStreams,Region_3,PAS9-0918,2013,6/6/2013,1,BERW,79.53,Good
1002049,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,ABLABESMYIA,ABLABESMYIA,3406,5.0,1.0,38.68908,-75.7699,LargeStreams,Region_3,MDS9-0914,2013,6/6/2013,1,BETB,19.75,Poor
1002050,ARTHROPODA,MALACOSTRACA,AMPHIPODA,,,AMPHIPODA,3450,82.0,0.0,41.27242,-74.84022,RiversMajor,Region_2,NJR9-0901,2013,6/6/2013,1,BETB,49.85,Good
1002051,ANNELIDA,OLIGOCHAETA,HAPLOTAXIDA,TUBIFICIDAE,AULODRILUS,AULODRILUS,3496,1.0,1.0,29.91047,-95.49178,SmallStreams,Region_6,TXS9-0926,2013,6/6/2013,1,BERW,18.03,Poor
1002052,ARTHROPODA,INSECTA,PLECOPTERA,NEMOURIDAE,AMPHINEMURA,AMPHINEMURA,3449,4.0,1.0,41.0507,-74.38407,SmallStreams,Region_2,NJSS-1082,2013,6/7/2013,1,BERW,14.67,Poor
1002053,ARTHROPODA,MALACOSTRACA,AMPHIPODA,,,AMPHIPODA,3450,247.0,0.0,40.90745,-74.30466,RiversOther,Region_2,NJRO-1020,2013,6/9/2013,1,BETB,8.28,Poor
1002054,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,ABLABESMYIA,ABLABESMYIA,3406,,,44.94257,-93.02145,SmallStreams,Region_5,MNSS-1171,2013,6/6/2013,1,BERW,28.68,Fair
1002056,MOLLUSCA,GASTROPODA,BASOMMATOPHORA,ANCYLIDAE,,ANCYLIDAE,3458,1.0,1.0,40.52159,-79.39899,LargeStreams,Region_3,PAS9-0923,2013,6/10/2013,1,BERW,22.53,Poor
1002057,ARTHROPODA,INSECTA,ODONATA,AESHNIDAE,,AESHNIDAE,3418,1.0,1.0,41.11046,-74.84292,LargeStreams,Region_2,NJS9-0909,2013,6/11/2013,1,BERW,10.92,Poor
1002058,ARTHROPODA,INSECTA,EPHEMEROPTERA,CAENIDAE,CAENIS,CAENIS,3542,4.0,1.0,40.79966,-98.43775,RiversOther,Region_7,NER9-0904,2013,6/10/2013,1,BERW,24.17,Fair
1002059,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,,CRICOTOPUS/ORTHOCLADIUS,3623,2.0,1.0,35.9166,-113.3347,RiversMajor,Region_9,AZRM-1002,2013,6/8/2013,1,BETB,44.73,Fair
1002060,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,ABLABESMYIA,ABLABESMYIA,3406,,,39.44732,-78.97643,RiversMajor,Region_3,MDRM-1003,2013,6/11/2013,1,BETB,28.18,Poor
1002061,ARTHROPODA,INSECTA,ODONATA,COENAGRIONIDAE,ARGIA,ARGIA,3476,1.0,1.0,36.73991,-114.206,RiversMajor,Region_9,NVRM-1001,2013,6/10/2013,1,BERW,18.55,Poor
1002062,ARTHROPODA,INSECTA,COLEOPTERA,HYDROPHILIDAE,BEROSUS,BEROSUS,3511,2.0,1.0,34.59159,-99.02375,RiversOther,Region_6,OKR9-0909,2013,6/11/2013,1,BERW,20.17,Poor
1002063,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,ABLABESMYIA,ABLABESMYIA,3406,1.0,1.0,34.83934,-98.306,SmallStreams,Region_6,OKS9-0931,2013,6/10/2013,1,BERW,16.57,Poor
1002064,ARTHROPODA,INSECTA,ODONATA,COENAGRIONIDAE,ARGIA,ARGIA,3476,1.0,1.0,40.84166,-99.74438,LargeStreams,Region_7,NELS-1074,2013,6/11/2013,1,BERW,19.45,Poor
1002065,ARTHROPODA,INSECTA,EPHEMEROPTERA,BAETIDAE,ACENTRELLA,ACENTRELLA,3407,3.0,1.0,41.51621,-79.32288,LargeStreams,Region_3,PALS-1090,2013,6/11/2013,1,BERW,74.75,Good
1002066,ARTHROPODA,ARACHNIDA,TROMBIDIFORMES,ARRENURIDAE,ARRENURUS,ARRENURUS,3481,,,38.43482,-95.74648,LargeStreams,Region_7,KSRS-1340,2013,6/10/2013,1,BERW,13.3,Poor
1002067,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,ACRICOTOPUS,ACRICOTOPUS,3411,2.0,1.0,46.31488,-101.6123,SmallStreams,Region_8,NDSS-1103,2013,6/11/2013,1,BERW,15.65,Poor
1002068,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,ABLABESMYIA,ABLABESMYIA,3406,4.0,1.0,32.78727,-96.87091,SmallStreams,Region_6,TXSS-1216,2013,6/12/2013,1,BERW,28.08,Fair
1002069,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,ABLABESMYIA,ABLABESMYIA,3406,2.0,1.0,33.75841,-97.29398,SmallStreams,Region_6,TXS9-0928,2013,6/11/2013,1,BERW,31.85,Fair
1002070,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,ABLABESMYIA,ABLABESMYIA,3406,7.0,1.0,37.39754,-95.67977,RiversOther,Region_7,KSR9-0906,2013,6/11/2013,1,BETB,56.73,Good
1002071,ARTHROPODA,INSECTA,COLEOPTERA,ELMIDAE,ANCYRONYX,ANCYRONYX,3459,1.0,1.0,,,,,WIRF-0011,2013,,1,BERW,,
1002072,ARTHROPODA,INSECTA,PLECOPTERA,PERLIDAE,ACRONEURIA,ACRONEURIA,3412,3.0,1.0,41.65698,-78.61148,SmallStreams,Region_3,PAS9-0922,2013,6/12/2013,1,BERW,50.98,Fair
1002073,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,ABLABESMYIA,ABLABESMYIA,3406,,,44.51765,-94.02858,SmallStreams,Region_5,MNS9-0933,2013,6/11/2013,1,BERW,26.78,Fair
1002074,ARTHROPODA,MALACOSTRACA,AMPHIPODA,,,AMPHIPODA,3450,24.0,0.0,40.5089,-74.46615,RiversMajor,Region_2,NJR9-0902,2013,6/12/2013,1,BETB,7.4,Poor
1002075,ARTHROPODA,INSECTA,COLEOPTERA,HYDROPHILIDAE,BEROSUS,BEROSUS,3511,3.0,1.0,34.88904,-99.37742,RiversOther,Region_6,OKRO-1089,2013,6/12/2013,1,BERW,4.03,Poor
1002076,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,ABLABESMYIA,ABLABESMYIA,3406,2.0,1.0,42.79337,-72.52477,RiversMajor,Region_1,VTR9-0901,2013,6/11/2013,1,BETB,11.58,Poor
