indicator,allcond,bentcnts,bentmet,bentmmi
PHYLUM,False,True,False,False
CLASS,False,True,False,False
ORDER,False,True,False,False
FAMILY,False,True,False,False
GENUS,False,True,False,False
TARGET_TAXON,False,True,False,False
TAXA_ID,False,True,False,False
TOTAL300,False,True,False,False
IS_DISTINCT300,False,True,False,False
LAT_DD83,True,False,False,True
LON_DD83,True,False,False,True
AG_ECO9,False,False,False,False
STRAH_CAT,True,False,False,False
EPA_REG,True,False,False,False
UID,True,True,True,True
SITE_ID,True,True,True,True
YEAR,True,True,False,False
DATE_COL,True,False,True,True
VISIT_NO,True,True,True,True
SAMPLE_TYPE,False,True,True,True
MMI_BENT,True,False,False,True
BENT_MMI_COND,True,False,False,False
OE_SCORE,True,False,False,True
Nitrogen,False,False,False,False
Phosphorus,False,False,False,False
DO,False,False,False,False
