SITE_ID,VISIT_NO,Total_Individuals,Taxa_Richness,UID,LAT_DD83,LON_DD83,DATE_COL,MMI_BENT,BENT_MMI_COND,YEAR,Shannon_Index,Simpson_Index,EPT_Individuals,EPT_Taxa,EPT_%,STRAH_CAT_LargeStreams,STRAH_CAT_Missing,STRAH_CAT_RiversMajor,STRAH_CAT_RiversOther,STRAH_CAT_SmallStreams,EPA_REG_Missing,EPA_REG_Region_1,EPA_REG_Region_10,EPA_REG_Region_2,EPA_REG_Region_3,EPA_REG_Region_4,EPA_REG_Region_5,EPA_REG_Region_6,EPA_REG_Region_7,EPA_REG_Region_8,EPA_REG_Region_9,Sampling_Month,Season_Fall,Season_Spring,Season_Summer,Season_Unknown,Taxa_3406,Taxa_3407,Taxa_3408,Taxa_3418,Taxa_3439,Taxa_3450,Taxa_3458,Taxa_3459,Taxa_3465,Taxa_3472,Taxa_3476,Taxa_3481,Taxa_3487,Taxa_3490,Taxa_3491,Taxa_3496,Taxa_3500,Taxa_3501,Taxa_3511,Taxa_3526,Taxa_3532,Taxa_3535,Taxa_3540,Taxa_3542,Taxa_3544,Taxa_3546,Taxa_3548,Taxa_3556,Taxa_3564,Taxa_3565,Taxa_3566,Taxa_3567,Taxa_3578,Taxa_3579,Taxa_3581,Taxa_3582,Taxa_3583,Taxa_3587,Taxa_3590,Taxa_3593,Taxa_3594,Taxa_3600,Taxa_3606,Taxa_3612,Taxa_3614,Taxa_3620,Taxa_3622,Taxa_3623,Taxa_3625,Taxa_3628,Taxa_3641,Taxa_3646,Taxa_3657,Taxa_3658,Taxa_3661,Taxa_3665,Taxa_3676,Taxa_3678,Taxa_3679,Taxa_3688,Taxa_3695,Taxa_3697,Taxa_3698,Taxa_3703,Taxa_3704,Taxa_3705,Taxa_3706,Taxa_3711,Taxa_3717,Taxa_3722,Taxa_3726,Taxa_3729,Taxa_3735,Taxa_3744,Taxa_3745,Taxa_3752,Taxa_3753,Taxa_3756,Taxa_3759,Taxa_3771,Taxa_3783,Taxa_3789,Taxa_3792,Taxa_3799,Taxa_3802,Taxa_3809,Taxa_3811,Taxa_3814,Taxa_3816,Taxa_3817,Taxa_3821,Taxa_3832,Taxa_3844,Taxa_3845,Taxa_3846,Taxa_3847,Taxa_3855,Taxa_3866,Taxa_3882,Taxa_3890,Taxa_3892,Taxa_3895,Taxa_3897,Taxa_3904,Taxa_3911,Taxa_3912,Taxa_3918,Taxa_3920,Taxa_3925,Taxa_3928,Taxa_3939,Taxa_3941,Taxa_3945,Taxa_3948,Taxa_3952,Taxa_3967,Taxa_3977,Taxa_3980,Taxa_3981,Taxa_3982,Taxa_3986,Taxa_3997,Taxa_4000,Taxa_4004,Taxa_4005,Taxa_4011,Taxa_4028,Taxa_4038,Taxa_4041,Taxa_4042,Taxa_4043,Taxa_4056,Taxa_4060,Taxa_4071,Taxa_4082,Taxa_4085,Taxa_4088,Taxa_4099,Taxa_4101,Taxa_4102,Taxa_4106,Taxa_4107,Taxa_4108,Taxa_4112,Taxa_4120,Taxa_4121,Taxa_4130,Taxa_4134,Taxa_4138,Taxa_4141,Taxa_4143,Taxa_4149,Taxa_4158,Taxa_4159,Taxa_4162,Taxa_4166,Taxa_4170,Taxa_4174,Taxa_4175,Taxa_4178,Taxa_4187,Taxa_4188,Taxa_4191,Taxa_4192,Taxa_4199,Taxa_4203,Taxa_4206,Taxa_4209,Taxa_4212,Taxa_4213,Taxa_4223,Taxa_4245,Taxa_4247,Taxa_4249,Taxa_4253,Taxa_4260,Taxa_4263,Taxa_4276,Taxa_4280,Taxa_4281,Taxa_4288,Taxa_4296,Taxa_4298,Taxa_4300,Taxa_4307,Taxa_4308,Taxa_4309,Taxa_4310,Taxa_4311,Taxa_4315,Taxa_4327,Taxa_4332,Taxa_4337,Taxa_4340,Taxa_4347,Taxa_4348,Taxa_4361,Taxa_4362,Taxa_4368,Taxa_4369,Taxa_4371,Taxa_4379,Taxa_4382,Taxa_4384,Taxa_4391,Taxa_4393,Taxa_4394,Taxa_4400,Taxa_4412,Taxa_4428,Taxa_4430,Taxa_4433,MMI_BENT_MinMax,BENT_MMI_COND_enc
ALLS-1037,1,304.0,58.0,1003816,31.11972,-86.15249,2014-06-26,66.73,Good,2014.0,3.416017134919637,0.9442953601108032,71.0,14.0,0.2335526315789473,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,6.0,False,False,True,False,0.0328947368421052,0.0,0.0,0.0032894736842105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0032894736842105,0.0,0.0,0.0,0.0,0.0032894736842105,0.0,0.0,0.0,0.0,0.0,0.0,0.1282894736842105,0.0,0.0,0.006578947368421,0.0,0.0,0.006578947368421,0.0,0.0131578947368421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0098684210526315,0.0,0.0,0.1217105263157894,0.0,0.006578947368421,0.0032894736842105,0.0,0.0296052631578947,0.006578947368421,0.0,0.0,0.0,0.0,0.0,0.0032894736842105,0.0,0.0131578947368421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006578947368421,0.0,0.0,0.0,0.0,0.0,0.0230263157894736,0.0,0.0,0.0,0.0,0.0032894736842105,0.0,0.0,0.0,0.0,0.0131578947368421,0.0,0.0032894736842105,0.0032894736842105,0.0,0.0,0.0,0.0,0.006578947368421,0.0,0.0,0.0,0.0164473684210526,0.0,0.006578947368421,0.0,0.0,0.0,0.0,0.0,0.0032894736842105,0.0,0.0098684210526315,0.0032894736842105,0.0,0.0032894736842105,0.006578947368421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0197368421052631,0.0,0.0,0.0,0.0,0.0032894736842105,0.0,0.0230263157894736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0032894736842105,0.0164473684210526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0032894736842105,0.0,0.0,0.0,0.0,0.0,0.0,0.0855263157894736,0.0,0.0,0.0032894736842105,0.0032894736842105,0.0,0.0,0.0,0.0,0.0,0.0032894736842105,0.0,0.0032894736842105,0.0328947368421052,0.0,0.0,0.0,0.0,0.0,0.0,0.0032894736842105,0.0,0.0,0.0,0.0,0.0,0.0032894736842105,0.0,0.0098684210526315,0.0197368421052631,0.0328947368421052,0.0,0.0,0.0,0.0,0.0,0.0263157894736842,0.006578947368421,0.0,0.0,0.0032894736842105,0.0,0.006578947368421,0.0,0.0032894736842105,0.006578947368421,0.0,0.0,0.0,0.069078947368421,0.0,0.0,0.0,0.6788402848423195,2
ALLS-1039,1,273.0,41.0,1003515,31.65539,-86.71585,2014-05-21,40.22,Poor,2014.0,2.994485124201239,0.9172268512927854,9.0,6.0,0.0329670329670329,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,5.0,False,True,False,False,0.0842490842490842,0.0,0.0036630036630036,0.0036630036630036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1831501831501831,0.0,0.0,0.0,0.0,0.0,0.0073260073260073,0.0,0.0,0.0,0.0,0.0,0.0146520146520146,0.0,0.0,0.0,0.0,0.0,0.0036630036630036,0.0,0.0036630036630036,0.0,0.0,0.0036630036630036,0.0,0.0109890109890109,0.0219780219780219,0.0,0.0,0.0,0.0,0.0,0.0,0.0036630036630036,0.0,0.0146520146520146,0.0073260073260073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0036630036630036,0.0,0.0109890109890109,0.0,0.0,0.0,0.0073260073260073,0.0,0.0,0.0,0.0109890109890109,0.0036630036630036,0.0,0.0036630036630036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0219780219780219,0.0,0.0,0.0,0.0,0.0,0.0,0.0036630036630036,0.0,0.0,0.0,0.0,0.0,0.0,0.0366300366300366,0.0,0.0,0.0,0.0,0.0146520146520146,0.0073260073260073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1062271062271062,0.0,0.0,0.0036630036630036,0.0,0.0,0.0,0.1282051282051282,0.0,0.0,0.0,0.0,0.0,0.0,0.0036630036630036,0.0,0.0,0.0,0.0,0.0366300366300366,0.0073260073260073,0.0,0.0,0.0,0.0,0.0036630036630036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0036630036630036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0476190476190476,0.0,0.0073260073260073,0.0,0.0,0.0,0.0,0.0,0.0,0.0769230769230769,0.0,0.0,0.0,0.0146520146520146,0.0,0.0,0.0073260073260073,0.4091556459816887,0
ALLS-1041,1,302.0,33.0,1003654,30.69485,-87.92435,2014-06-12,33.18,Poor,2014.0,2.124795229841705,0.7369632910837244,151.0,5.0,0.5,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,6.0,False,False,True,False,0.0066225165562913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0066225165562913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033112582781456,0.4834437086092715,0.0,0.0,0.0,0.0,0.0,0.0,0.0231788079470198,0.0033112582781456,0.0,0.0,0.0033112582781456,0.0,0.0,0.0,0.0,0.0,0.0,0.0033112582781456,0.0033112582781456,0.0,0.0,0.0,0.0,0.0033112582781456,0.0033112582781456,0.0033112582781456,0.0,0.0,0.0,0.0165562913907284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0132450331125827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1357615894039735,0.0,0.0,0.0,0.0331125827814569,0.0,0.0,0.0,0.0,0.0033112582781456,0.0,0.0,0.0,0.0,0.0,0.0033112582781456,0.0,0.0596026490066225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033112582781456,0.0,0.0,0.0,0.0,0.0033112582781456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033112582781456,0.0,0.0,0.0,0.0,0.009933774834437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0066225165562913,0.0,0.0463576158940397,0.0,0.0,0.0066225165562913,0.0,0.0,0.0,0.0,0.0,0.009933774834437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033112582781456,0.0,0.0,0.0,0.3375381485249237,0
ALLS-1042,1,330.0,71.0,1003533,33.09741,-85.84587,2014-05-23,59.78,Good,2014.0,3.494715345787541,0.9390633608815429,166.0,29.0,0.503030303030303,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,5.0,False,True,False,False,0.003030303030303,0.003030303030303,0.0,0.0,0.0,0.0,0.0,0.0,0.009090909090909,0.0,0.0,0.0,0.003030303030303,0.0,0.0,0.0,0.003030303030303,0.0272727272727272,0.0,0.0242424242424242,0.0,0.0,0.0,0.006060606060606,0.0,0.0,0.0,0.0,0.0,0.0,0.006060606060606,0.003030303030303,0.0848484848484848,0.0,0.003030303030303,0.006060606060606,0.0,0.0,0.0,0.006060606060606,0.0,0.0,0.0,0.006060606060606,0.0,0.0,0.0,0.0212121212121212,0.003030303030303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006060606060606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003030303030303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003030303030303,0.0,0.0393939393939393,0.0,0.006060606060606,0.0,0.0,0.0,0.1303030303030303,0.006060606060606,0.0,0.003030303030303,0.0,0.003030303030303,0.0,0.0,0.006060606060606,0.003030303030303,0.0,0.0,0.0333333333333333,0.0,0.0,0.003030303030303,0.0,0.0,0.006060606060606,0.006060606060606,0.0,0.0,0.0,0.0,0.009090909090909,0.003030303030303,0.0,0.0363636363636363,0.0,0.0,0.0,0.003030303030303,0.0,0.006060606060606,0.0,0.0,0.0,0.0,0.0,0.0,0.006060606060606,0.0121212121212121,0.009090909090909,0.0,0.0,0.0,0.006060606060606,0.0,0.0,0.006060606060606,0.0,0.003030303030303,0.0,0.0,0.0,0.0,0.003030303030303,0.0,0.006060606060606,0.0,0.003030303030303,0.0,0.0,0.006060606060606,0.0,0.0,0.0,0.0242424242424242,0.0,0.0,0.006060606060606,0.0,0.0,0.0,0.0,0.006060606060606,0.0,0.0,0.0,0.0,0.003030303030303,0.006060606060606,0.0,0.006060606060606,0.0,0.003030303030303,0.0,0.1575757575757575,0.003030303030303,0.003030303030303,0.006060606060606,0.006060606060606,0.0,0.003030303030303,0.0,0.0454545454545454,0.0,0.006060606060606,0.0,0.0,0.0,0.0,0.0,0.006060606060606,0.003030303030303,0.006060606060606,0.0,0.0,0.0,0.0,0.0,0.006060606060606,0.0,0.0,0.003030303030303,0.0,0.0,0.0,0.0,0.0,0.6081383519837233,2
ALR9-0901,1,852.0,156.0,1002621,34.95092177,-87.042028,2013-08-05,18.7,Poor,2013.0,4.29491422022787,0.964243205713152,48.0,5.0,0.056338028169014,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,8.0,False,False,True,False,0.0422535211267605,0.0,0.0,0.0,0.0,0.0,0.0093896713615023,0.0187793427230046,0.0,0.0,0.0,0.0046948356807511,0.0,0.0,0.0093896713615023,0.0,0.0,0.0,0.0,0.0,0.0328638497652582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0046948356807511,0.0046948356807511,0.0,0.0,0.0093896713615023,0.028169014084507,0.0,0.0,0.0,0.0,0.0,0.0,0.0375586854460093,0.0,0.0,0.0,0.0,0.0187793427230046,0.0046948356807511,0.0,0.0,0.0,0.0,0.0093896713615023,0.0,0.0,0.0,0.0187793427230046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028169014084507,0.0,0.0,0.0093896713615023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0046948356807511,0.0,0.0,0.0140845070422535,0.0093896713615023,0.0,0.0,0.0093896713615023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0140845070422535,0.0,0.0,0.0,0.0,0.0,0.0187793427230046,0.0046948356807511,0.0,0.0,0.0,0.0046948356807511,0.0046948356807511,0.0,0.0,0.0093896713615023,0.0,0.0046948356807511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0093896713615023,0.0,0.0,0.0,0.0093896713615023,0.0,0.0,0.0,0.0,0.0234741784037558,0.0,0.0,0.0,0.0046948356807511,0.0,0.0,0.0,0.0,0.0,0.0093896713615023,0.0,0.0,0.3568075117370892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0093896713615023,0.0187793427230046,0.0046948356807511,0.0,0.0,0.0,0.0,0.0,0.0,0.0046948356807511,0.0,0.0,0.0,0.0,0.0,0.028169014084507,0.0,0.0187793427230046,0.056338028169014,0.0,0.0,0.0,0.0375586854460093,0.0,0.0,0.0,0.190233977619532,0
ALR9-0901,2,1248.0,172.0,1003111,41.38763,-90.84382,,42.2,Missing,,4.661499588260232,0.9839127218934912,120.0,7.0,0.0961538461538461,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0.0,False,False,False,True,0.0288461538461538,0.0,0.0,0.0,0.0,0.0,0.0032051282051282,0.0224358974358974,0.0,0.0,0.0673076923076923,0.0064102564102564,0.0,0.0,0.0032051282051282,0.0,0.0,0.0,0.0,0.0,0.0256410256410256,0.0,0.0,0.0,0.0,0.0032051282051282,0.0,0.0,0.0,0.0,0.0032051282051282,0.0064102564102564,0.0,0.0,0.0128205128205128,0.016025641025641,0.0,0.0,0.0,0.0,0.0,0.0,0.0673076923076923,0.0032051282051282,0.0064102564102564,0.0,0.0,0.0192307692307692,0.0032051282051282,0.0,0.0032051282051282,0.0032051282051282,0.0,0.0064102564102564,0.0,0.0,0.0,0.0064102564102564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0096153846153846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0032051282051282,0.0,0.0,0.0032051282051282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0128205128205128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0448717948717948,0.0993589743589743,0.0,0.0,0.0,0.0,0.0096153846153846,0.0,0.0,0.0,0.0032051282051282,0.0064102564102564,0.0,0.0,0.0,0.0,0.0,0.0032051282051282,0.0096153846153846,0.0,0.0,0.0,0.0,0.0128205128205128,0.0,0.0,0.0,0.016025641025641,0.0,0.0,0.0,0.0,0.0064102564102564,0.0,0.0,0.0,0.0,0.0064102564102564,0.0,0.0064102564102564,0.0288461538461538,0.0,0.0032051282051282,0.0,0.0,0.1794871794871795,0.0,0.0,0.0064102564102564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0288461538461538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0064102564102564,0.0,0.0,0.0,0.0,0.0,0.0416666666666666,0.0,0.0288461538461538,0.016025641025641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4292980671414039,Missing
ALR9-0902,1,384.0,84.0,1003534,32.48594217,-85.72031495,2014-05-22,51.72,Fair,2014.0,3.8456934956070903,0.9611545138888888,88.0,8.0,0.2291666666666666,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,5.0,False,True,False,False,0.0,0.0,0.0208333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0104166666666666,0.0,0.0,0.0104166666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0208333333333333,0.0,0.0104166666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0104166666666666,0.0,0.0625,0.0,0.0520833333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0104166666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0104166666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0104166666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0104166666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0104166666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0104166666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.1041666666666666,0.0104166666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0104166666666666,0.0,0.0,0.0,0.34375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0208333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0104166666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0416666666666666,0.0,0.0,0.0,0.0,0.0625,0.0,0.0,0.0,0.5261444557477111,1
ALR9-0902,2,504.0,88.0,1003673,41.38763,-90.84382,,42.2,Missing,,3.558067170314741,0.9487276392038296,60.0,7.0,0.119047619047619,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0.0,False,False,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0158730158730158,0.0,0.0,0.0,0.0,0.0,0.0,0.0079365079365079,0.0,0.0317460317460317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0793650793650793,0.0,0.0079365079365079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0079365079365079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0079365079365079,0.0158730158730158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0079365079365079,0.0,0.0,0.0,0.0079365079365079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0079365079365079,0.0,0.0,0.0,0.0,0.0079365079365079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0079365079365079,0.0,0.0,0.0079365079365079,0.0,0.0,0.0,0.3888888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0317460317460317,0.0,0.0,0.0,0.0,0.0,0.0,0.0079365079365079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0079365079365079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0079365079365079,0.0238095238095238,0.0,0.0,0.0,0.0,0.0,0.0,0.0317460317460317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4292980671414039,Missing
ALR9-0903,1,256.0,58.0,1003817,31.08686327,-87.08175172,2014-06-27,69.68,Good,2014.0,3.399264746415184,0.94122314453125,35.0,14.0,0.13671875,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,6.0,False,False,True,False,0.0078125,0.0,0.0,0.0,0.0,0.0,0.0,0.00390625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00390625,0.0,0.0,0.0,0.01171875,0.0,0.0,0.0,0.0,0.0,0.0,0.00390625,0.01171875,0.00390625,0.0,0.0,0.13671875,0.0,0.0,0.0,0.0,0.015625,0.0,0.0,0.00390625,0.00390625,0.01953125,0.0,0.0390625,0.01171875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046875,0.0,0.00390625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00390625,0.0,0.0,0.0,0.0,0.0,0.00390625,0.0,0.0,0.0,0.0,0.01171875,0.00390625,0.0,0.0,0.0,0.0,0.0,0.00390625,0.0,0.0,0.0,0.0078125,0.0,0.0,0.0,0.00390625,0.0,0.02734375,0.0,0.0,0.0,0.0078125,0.0,0.0,0.0,0.0,0.0,0.00390625,0.0,0.0,0.00390625,0.00390625,0.00390625,0.0,0.0078125,0.0,0.0,0.0078125,0.0,0.0,0.125,0.00390625,0.015625,0.0,0.0,0.0,0.0,0.00390625,0.015625,0.02734375,0.0,0.0,0.00390625,0.0,0.0,0.0,0.00390625,0.0,0.01171875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00390625,0.00390625,0.00390625,0.0,0.0,0.0078125,0.0,0.00390625,0.1015625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00390625,0.046875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0234375,0.0078125,0.015625,0.0,0.0,0.0,0.0,0.0,0.0390625,0.00390625,0.00390625,0.0,0.0,0.00390625,0.0,0.0,0.03515625,0.01953125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7088504577822992,2
ALR9-0904,1,193.0,40.0,1002177,33.41281268,-86.75189942,2013-06-25,41.0,Fair,2013.0,3.339245460085236,0.94730059867379,33.0,11.0,0.1709844559585492,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,6.0,False,False,True,False,0.0414507772020725,0.0,0.0,0.0,0.0,0.0,0.0103626943005181,0.0,0.0,0.0,0.0259067357512953,0.0,0.0,0.0,0.0,0.0,0.0103626943005181,0.0103626943005181,0.0,0.0,0.0155440414507772,0.0,0.0,0.0,0.0,0.0,0.005181347150259,0.005181347150259,0.0155440414507772,0.0,0.0,0.0,0.0362694300518134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0569948186528497,0.0,0.005181347150259,0.0466321243523316,0.0,0.0,0.0,0.0207253886010362,0.0207253886010362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0207253886010362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005181347150259,0.0155440414507772,0.0,0.0,0.0,0.0,0.0,0.0,0.005181347150259,0.0,0.0,0.0,0.0,0.0103626943005181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005181347150259,0.0,0.0103626943005181,0.0,0.0,0.0,0.005181347150259,0.0,0.0466321243523316,0.0103626943005181,0.0,0.0,0.0,0.005181347150259,0.0310880829015544,0.0,0.0,0.0,0.0,0.0,0.0,0.0103626943005181,0.0,0.0,0.0,0.0,0.0,0.0103626943005181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005181347150259,0.0,0.0207253886010362,0.0,0.0,0.077720207253886,0.0,0.0,0.0,0.0,0.0,0.005181347150259,0.0,0.0,0.0,0.0,0.0,0.0,0.0259067357512953,0.0,0.0,0.0,0.0,0.0,0.0,0.005181347150259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0155440414507772,0.005181347150259,0.005181347150259,0.0,0.0,0.005181347150259,0.0,0.0,0.0,0.0,0.0155440414507772,0.0,0.0,0.0,0.0,0.0,0.0207253886010362,0.1191709844559585,0.0,0.0,0.0,0.1191709844559585,0.0,0.0,0.0,0.4170905391658189,1
