UID,PHYLUM,CLASS,ORDER,FAMILY,GENUS,TARGET_TAXON,TAXA_ID,TOTAL300,IS_DISTINCT300,LAT_DD83,LON_DD83,STRAH_CAT,EPA_REG,SITE_ID,YEAR,DATE_COL,VISIT_NO,SAMPLE_TYPE,MMI_BENT,BENT_MMI_COND,candidate_station_1_id,candidate_station_1_distance_km,candidate_station_2_id,candidate_station_2_distance_km,candidate_station_3_id,candidate_station_3_distance_km,candidate_station_4_id,candidate_station_4_distance_km,candidate_station_5_id,candidate_station_5_distance_km
2014737,ARTHROPODA,MALACOSTRACA,DECAPODA,CAMBARIDAE,FAXONIUS,FAXONIUS,5131,1.0,1.0,35.5453888599591,-99.72270533,SmallStreams,Region_06,NRS18_OK_10062,2018.0,6/20/2018,1,BERW,28.78,Fair,USC00341743,0.46766847569439957,US1OKRM0003,6.566343382232954,USC00341738,7.389162649890791,USC00341741,10.272645910065165,USC00347435,17.84217052475396
2012488,ARTHROPODA,INSECTA,DIPTERA,TABANIDAE,,TABANIDAE,4340,1.0,1.0,36.9021683891269,-95.16425506,SmallStreams,Region_06,NRS18_OK_10431,2018.0,6/25/2018,1,BERW,31.3,Fair,USC00344258,11.150120367693113,US1KSLB0009,16.532812800256746,USC00140548,16.87610832288627,USC00145200,23.172894552438674,US1KSLB0010,24.637622150653282
2012489,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,,CHIRONOMIDAE,3581,2.0,0.0,33.9294492359917,-96.0702418,LargeStreams,Region_06,NRS18_OK_10025,2018.0,7/2/2018,1,BERW,51.6,Fair,USC00340917,11.268486986188496,USC00418898,16.98648063180222,USC00349841,19.590809909903736,USC00416050,20.25686809093631,USC00340980,20.912909391690935
2012490,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,,CHIRONOMIDAE,3581,,,42.5368677046374,-89.39556013,SmallStreams,Region_05,NRS18_WI_10091,2018.0,7/2/2018,1,BERW,21.53,Poor,US1ILSP0027,8.495670072399632,USC00471078,9.061705622805327,US1WIGN0008,10.046807551210348,US1ILSP0032,10.553639415678438,US1ILWN0039,11.200655480667614
2012491,ARTHROPODA,ARACHNIDA,TROMBIDIFORMES,TORRENTICOLIDAE,TORRENTICOLA,TORRENTICOLA,4371,,,45.4962572181728,-87.98249295,LargeStreams,Region_05,NRS18_WI_10006,2018.0,7/12/2018,1,BERW,61.55,Good,US1WIMR0003,2.360044690982592,US1WIMR0001,12.183385029579489,USC00478978,13.049957748872322,USC00472263,19.23637378053495,USC00471897,22.445961909609967
2012492,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,POLYPEDILUM,POLYPEDILUM,4178,7.0,1.0,,,,Region_06,NRS18_OK_10001,,7/16/2018,2,BERW,47.75,,ACW00011604,,US1OKCV0084,,US1OKCV0083,,US1OKCV0082,,US1OKCV0081,
2012493,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,,THIENEMANNIMYIA GENUS GR.,4362,2.0,1.0,36.7144156634049,-97.79295371,LargeStreams,Region_06,NRS18_OK_11085,2018.0,7/16/2018,1,BERW,26.73,Fair,US1OKGT0004,4.872098754295233,USC00344573,5.089495587726242,USC00345769,9.64549215322297,USC00344928,18.633293934766634,US1OKGT0001,19.000095947411513
2012494,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,STICTOCHIRONOMUS,STICTOCHIRONOMUS,4315,4.0,1.0,44.558195944284,-90.32250897,LargeStreams,Region_05,NRS18_WI_10053,2018.0,7/16/2018,1,BERW,15.43,Poor,US1WIWD0021,10.238535789439831,US1WIWD0028,11.059126627190702,US1WIWD0015,12.299258032848593,USW00094985,13.878620439668635,US1WIWD0016,15.839300845203386
2012495,ANNELIDA,OLIGOCHAETA,HAPLOTAXIDA,TUBIFICIDAE,,TUBIFICIDAE,4391,2.0,1.0,35.8853626051472,-97.61348318,RiversMajor,Region_06,NRS18_OK_10053,2018.0,7/17/2018,1,BERW,9.0,Poor,US1OKLG0007,5.233462945577588,USC00342242,7.158019589414877,US1OKLG0021,8.909414695806758,USC00343820,12.718734106203229,US1OKLG0006,15.43537718251635
2012496,ARTHROPODA,INSECTA,DIPTERA,CERATOPOGONIDAE,,CERATOPOGONIDAE,3566,1.0,0.0,,,,Region_06,NRS18_OK_10050,,7/17/2018,2,BERW,37.9,,ACW00011604,,US1OKCV0084,,US1OKCV0083,,US1OKCV0082,,US1OKCV0081,
2012497,ARTHROPODA,ARACHNIDA,TROMBIDIFORMES,LEBERTIIDAE,LEBERTIA,LEBERTIA,3892,,,44.6891556898351,-91.36509269,SmallStreams,Region_05,NRS18_WI_10036,2018.0,7/17/2018,1,BERW,24.45,Fair,US1WIEC0002,7.400711796031179,US1WIEC0038,7.733517435710909,US1WIEC0033,9.123813148309313,US1WIEC0025,9.15711593629488,US1WIEC0028,12.479210256734925
2012498,ARTHROPODA,INSECTA,DIPTERA,EMPIDIDAE,HEMERODROMIA,HEMERODROMIA,3799,1.0,1.0,44.7900719047724,-92.52999391,LargeStreams,Region_05,NRS18_WI_10038,2018.0,7/18/2018,1,BERW,40.25,Fair,US1WIPC0007,4.823765773885941,US1WIPC0004,5.476371869262784,US1WIPC0049,8.314670563751033,USC00472556,8.714844158905418,US1WIPC0010,8.797164339140329
2012499,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,POLYPEDILUM,POLYPEDILUM,4178,9.0,1.0,44.818435381892,-91.87926357,SmallStreams,Region_05,NRS18_WI_10019,2018.0,7/19/2018,1,BERW,18.18,Poor,US1WIDN0017,4.389988777257019,USC00475330,6.124879794430379,US1WIDN0003,6.800706843789154,US1WIDN0014,7.44637138616584,USC00475335,7.664173751085131
2012500,ARTHROPODA,INSECTA,EPHEMEROPTERA,HEPTAGENIIDAE,,HEPTAGENIIDAE,3802,5.0,0.0,36.2738953556503,-81.87095586,LargeStreams,Region_04,NRS18_NC_10014,2018.0,7/19/2018,1,BERW,76.68,Good,US1NCAV0002,2.8625526936894015,USC00313072,4.503110573048735,US1NCWT0014,6.37226406390738,US1NCWT0061,6.452775006553119,US1NCWT0042,6.54773917891851
2012501,ARTHROPODA,INSECTA,TRICHOPTERA,HYDROPTILIDAE,,HYDROPTILIDAE,3847,1.0,0.0,35.1481488020214,-94.70189843,RiversOther,Region_06,NRS18_OK_10023,2018.0,7/23/2018,1,BERW,50.93,Good,US1OKLF0003,2.179946716821051,US1OKLF0007,10.078176188855668,USC00347254,12.530119205978355,USC00347246,12.571979978491594,USC00348416,12.837594520025931
2012502,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,TANYTARSUS,TANYTARSUS,4348,1.0,1.0,33.9122163262306,-95.54936002,RiversMajor,Region_06,NRS18_OK_10029,2018.0,7/24/2018,1,BETB,31.13,Poor,USC00410367,5.9602758210069595,USC00344384,12.151761210086159,US1TXLM0003,13.123850533777773,USC00415878,13.284291670098257,US1OKCW0003,13.738562040481044
2012503,ARTHROPODA,INSECTA,TRICHOPTERA,HYDROPTILIDAE,HYDROPTILA,HYDROPTILA,3846,1.0,1.0,36.7601225147135,-96.2895561,SmallStreams,Region_06,NRS18_OK_10018,2018.0,8/28/2018,1,BERW,47.97,Good,US1OKOS0011,9.614983997039623,USC00346935,11.340870015728077,USC00344064,14.28295840991551,US1OKOS0014,14.672156464901942,US1OKOS0008,21.815726147575933
2012504,MOLLUSCA,GASTROPODA,BASOMMATOPHORA,ANCYLIDAE,FERRISSIA,FERRISSIA,3735,,,,,,Region_06,NRS18_OK_10022,,9/4/2018,2,BETB,55.75,,ACW00011604,,US1OKCV0084,,US1OKCV0083,,US1OKCV0082,,US1OKCV0081,
2012506,ARTHROPODA,INSECTA,ODONATA,GOMPHIDAE,PROGOMPHUS,PROGOMPHUS,4194,12.0,1.0,35.9654531627316,-96.36807127,LargeStreams,Region_06,NRS18_OK_10003,2018.0,9/10/2018,1,BERW,45.93,Good,USC00344098,7.8210826010558865,US1OKCK0013,15.044442720704529,USC00341144,15.299427109861668,US1OKCK0014,19.934212561526532,USC00344807,20.159756264638823
2012507,ARTHROPODA,INSECTA,EPHEMEROPTERA,BAETIDAE,PLAUDITUS,PLAUDITUS,4166,1.0,1.0,34.4509602772063,-94.68104222,RiversOther,Region_06,NRS18_OK_10830,2018.0,9/11/2018,1,BERW,58.13,Good,USC00348285,3.974854448282593,USC00344017,13.389691942168383,USC00340567,21.218368364669054,USC00341544,22.302276155535676,USC00344820,23.779641647908626
2012508,ARTHROPODA,INSECTA,TRICHOPTERA,HYDROPSYCHIDAE,CHEUMATOPSYCHE,CHEUMATOPSYCHE,3578,3.0,1.0,34.6357308491595,-95.1215903,RiversOther,Region_06,NRS18_OK_10034,2018.0,9/12/2018,1,BETB,37.95,Fair,USC00349023,14.709145503259752,USR0000OKIA,18.399914882953787,USC00343182,20.279588548040152,USC00341855,21.70139548885614,US1OKLT0003,22.426615400225952
2012510,ANNELIDA,OLIGOCHAETA,HAPLOTAXIDA,NAIDIDAE,OPHIDONAIS,OPHIDONAIS,4068,,,35.3731575004358,-98.67906497,SmallStreams,Region_06,NRS18_OK_11422,2019.0,6/3/2019,1,BERW,18.65,Poor,USC00342039,2.6125142693343557,US1OKCD0023,15.379341822383273,USC00349422,16.42375249473159,US1OKCS0002,17.107695395525475,USC00349428,17.359390563659947
2012511,ARTHROPODA,INSECTA,EPHEMEROPTERA,BAETIDAE,BAETIS,BAETIS,3501,1.0,1.0,36.2702859426244,-95.72555906,RiversOther,Region_06,NRS18_OK_10340,2019.0,9/17/2019,1,BETB,49.15,Good,US1OKRG0025,2.6789594031432533,US1OKRG0017,3.972126419887815,US1OKRG0018,4.293324420404978,US1OKRG0014,4.468834440496181,US1OKRG0011,4.571090033327154
2012512,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,LIMNOPHYES,LIMNOPHYES,3928,1.0,1.0,38.157451391189,-100.1897315,SmallStreams,Region_07,NRS18_KS_10098,2018.0,5/7/2018,1,BERW,5.95,Poor,US1KSHG0012,9.232502307528273,USC00144159,11.465546100730139,US1KSHG0001,11.787238722814518,USC00144085,12.610569069094474,US1KSFI0009,13.830512399512221
2012513,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,PARAMETRIOCNEMUS,PARAMETRIOCNEMUS,4112,,,39.8957684469827,-101.7077863,SmallStreams,Region_07,NRS18_KS_10086,2018.0,5/14/2018,1,BERW,29.57,Fair,US1KSCN0007,2.159424764461794,US1KSCN0016,3.000299957979527,US1KSCN0004,15.414864031810287,US1KSCN0017,15.887036858862876,US1KSCN0001,15.91941709796744
2012514,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,DICROTENDIPES,DICROTENDIPES,3658,6.0,1.0,39.9083852426482,-84.29816434,RiversOther,Region_05,NRS18_OH_10050,2018.0,5/29/2018,1,BETB,62.45,Good,US1OHMY0034,2.8304155292412148,US1OHMY0083,5.468501525805893,US1OHMY0079,6.56307891979453,US1OHMY0036,6.622769324537432,USW00093815,6.790082675386275
2012515,ANNELIDA,OLIGOCHAETA,HAPLOTAXIDA,NAIDIDAE,,NAIDIDAE,4003,6.0,0.0,38.6576711369321,-97.17331128,SmallStreams,Region_07,NRS18_KS_10103,2018.0,5/29/2018,1,BERW,14.08,Poor,USC00142478,5.93668537261474,US1KSDK0019,9.112461327573532,US1KSDK0011,10.167180916123757,US1KSDK0025,11.759680344997077,US1KSDK0041,12.72249024376254
2012516,ARTHROPODA,MALACOSTRACA,AMPHIPODA,CRANGONYCTIDAE,CRANGONYX,CRANGONYX,3622,,,39.2169141012594,-84.61572904,SmallStreams,Region_05,NRS18_OH_10023,2018.0,5/30/2018,1,BERW,20.97,Poor,USC00331574,1.882621896474908,US1OHHM0023,2.013021073735481,US1OHHM0009,3.9037134267226588,US1OHHM0013,4.852031580417287,US1OHHM0054,5.1402203561424855
2012517,ARTHROPODA,INSECTA,COLEOPTERA,PSEPHENIDAE,PSEPHENUS,PSEPHENUS,4209,4.0,1.0,38.6054480813249,-83.95593345,LargeStreams,Region_04,NRS18_KY_10006,2018.0,5/31/2018,1,BERW,28.07,Poor,US1KYBC0001,11.994029096099057,US1OHBR0009,17.145496143762713,USC00155243,17.226733093768388,US1KYBC0002,18.019320909196097,USC00150290,18.951355761345862
2012518,ANNELIDA,HIRUDINEA,RHYNCHOBDELLIDA,GLOSSIPHONIIDAE,HELOBDELLA,HELOBDELLA,3792,,,29.9104654367424,-95.49178127,SmallStreams,Region_06,NRS18_TX_10016,2018.0,6/4/2018,1,BERW,16.6,Poor,USC00414327,5.379149294515297,US1TXHRR204,6.7803264729320984,US1TXHRR159,7.574728948514666,US1TXHRR081,8.411085666745809,USC00414430,8.72210161100837
2012519,MOLLUSCA,BIVALVIA,VENEROIDA,PISIDIIDAE,,PISIDIIDAE,4158,11.0,0.0,41.3932650662287,-84.29579378,SmallStreams,Region_05,NRS18_OH_10014,2018.0,6/4/2018,1,BERW,20.93,Poor,US1OHDF0006,4.5902158206616885,USC00337080,6.7589720216212665,USC00335667,12.114441219046777,USW00004851,12.79325934775921,US1OHDF0001,13.131291705031416
2012520,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,CRYPTOCHIRONOMUS,CRYPTOCHIRONOMUS,3625,1.0,1.0,37.6463654811375,-98.19185293,SmallStreams,Region_07,NRS18_KS_10100,2018.0,6/4/2018,1,BERW,31.42,Fair,USC00144313,5.887210820889358,US1KSKM0014,6.0414751865098335,US1KSKM0019,6.3682487733618345,US1KSKM0010,6.603617613536012,US1KSKM0020,7.3892701126127225
2012521,ARTHROPODA,INSECTA,COLEOPTERA,GYRINIDAE,GYRINUS,GYRINUS,3774,1.0,1.0,42.9441791114345,-83.85332199,SmallStreams,Region_05,NRS18_MI_10033,2018.0,6/5/2018,1,BERW,4.53,Poor,US1MIGN0028,3.860132580579316,US1MIGN0033,4.3666135559386,US1MIGN0020,5.877799017130739,USW00014826,8.779864521034815,USC00205629,9.180620461329866
2012522,ARTHROPODA,INSECTA,EPHEMEROPTERA,BAETIDAE,ACENTRELLA,ACENTRELLA,3407,14.0,1.0,41.6076342885273,-77.50377625,SmallStreams,Region_03,NRS18_PA_10004,2018.0,6/5/2018,1,BERW,77.68,Good,USC00369340,3.9728612279822695,USC00361301,10.629903233268198,USC00365081,11.895044718603089,USC00369408,14.141346886783197,USC00363211,14.33730406477481
2012523,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,PROCLADIUS,PROCLADIUS,4191,,,40.4535208720091,-88.44482322,SmallStreams,Region_05,NRS18_IL_10363,2018.0,6/5/2018,1,BERW,28.62,Fair,US1ILFD0012,2.9881070329849275,US1ILFD0009,2.9884255164712914,USC00113413,7.071117625263791,USC00117590,7.7484799257256745,US1ILMCL030,9.793577421861636
2012524,ARTHROPODA,INSECTA,TRICHOPTERA,HYDROPSYCHIDAE,CHEUMATOPSYCHE,CHEUMATOPSYCHE,3578,8.0,1.0,33.926732736376,-85.05046408,SmallStreams,Region_04,NRS18_GA_10003,2018.0,6/5/2018,1,BERW,15.13,Poor,US1GAPG0008,6.7404612681722424,US1GAPL0012,7.054901182209267,USC00093147,7.355254583511967,US1GAPG0012,12.434941443302879,US1GAPL0003,17.36054135046554
2012525,NEMERTEA,ENOPLA,HOPLONEMERTEA,TETRASTEMMATIDAE,PROSTOMA,PROSTOMA,4199,,,41.5401303030311,-83.83336808,LargeStreams,Region_05,NRS18_OH_10029,2018.0,6/5/2018,1,BERW,43.73,Good,USC00335700,4.90553921157286,USW00094830,5.7007888221990095,US1OHFL0015,6.183622285102093,US1OHFL0013,6.270961971882766,US1OHLS0022,9.591078281970066
2012526,ARTHROPODA,INSECTA,TRICHOPTERA,,,TRICHOPTERA,4382,1.0,0.0,37.8560151108596,-97.14034423,SmallStreams,Region_07,NRS18_KS_10043,2018.0,6/5/2018,1,BERW,10.22,Poor,US1KSBU0030,4.040919499619901,US1KSSG0174,8.337239604359445,US1KSBU0045,9.285550115234468,USC00144227,13.293466021386378,US1KSSG0089,13.420986306002952
2012527,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,POLYPEDILUM,POLYPEDILUM,4178,42.0,1.0,38.2627618885793,-81.22257444,LargeStreams,Region_03,NRS18_WV_10010,2018.0,6/5/2018,1,BERW,66.87,Good,USC00460661,4.742874570061029,USC00464631,8.456301013063525,USC00464727,13.880161624594988,USC00466140,14.105408261654635,USC00465365,15.016290128993374
2012528,MOLLUSCA,BIVALVIA,VENEROIDA,PISIDIIDAE,PISIDIUM,PISIDIUM,4159,8.0,1.0,35.7493094024648,-97.13433463,LargeStreams,Region_06,NRS18_OK_10001,2018.0,6/4/2018,1,BERW,31.27,Fair,US1OKLG0013,4.57925312599798,US1OKOK0074,9.99038944962571,USC00345410,10.93299951841455,US1OKOK0004,11.363665878249908,US1OKLG0022,17.443586361929352
2012529,ARTHROPODA,INSECTA,PLECOPTERA,CHLOROPERLIDAE,,CHLOROPERLIDAE,3583,8.0,1.0,43.2995996383256,-72.49427176,SmallStreams,Region_01,NRS18_VT_10034,2018.0,6/4/2018,1,BERW,67.73,Good,USC00435977,4.163503156768035,USC00435982,4.4977146995982,USC00437954,5.121097699221651,USW00054740,5.220618352733346,US1VTWR0009,9.512529255124223
2012530,ARTHROPODA,INSECTA,EPHEMEROPTERA,CAENIDAE,CAENIS,CAENIS,3542,24.0,1.0,35.7176878728481,-96.37697906,LargeStreams,Region_06,NRS18_OK_10002,2018.0,6/5/2018,1,BERW,42.55,Good,USC00341144,12.470501974508336,USC00349479,15.09494594345117,US1OKCK0013,15.379636636172698,US1OKCK0014,18.329935627553873,USC00340631,26.44068371815562
