PUBLICATION_DATE,UID,UNIQUE_ID,SITE_ID,DATE_COL,VISIT_NO,PSTL_CODE,SITETYPE,INDEX_VISIT,SITESAMP,AG_ECO9,SAMPLE_TYPE,METRIC_TAXA_ROOT,COMP_PT,DIVS_PT,FEED_PT,HABT_PT,RICH_PT,TOLR_PT,MMI_BENT,BENT_MMI_COND
6/12/2023,2011534,NRS_KS-10050,NRS18_KS_10050,10/8/2019,1,KS,PROB,,Y,SPL,BETB,WSA,10,4.03,0,7.83,6,1.43,48.82,Good
6/12/2023,2012488,NRS_OK-10206,NRS18_OK_10431,6/25/2018,1,OK,PROB,,Y,TPL,BERW,WSA,0.64,8.07,3.75,3.53,1,1.79,31.3,Fair
6/12/2023,2012489,NRS_OK-10180,NRS18_OK_10025,7/2/2018,1,OK,PROB,,Y,CPL,BERW,WSA,5.91,7.57,2.5,4.43,4.38,6.17,51.6,Fair
6/12/2023,2012490,NRS_WI-10211,NRS18_WI_10091,7/2/2018,1,WI,PROB,,Y,TPL,BERW,WSA,1.17,3.52,1.25,1.76,0,5.22,21.53,Poor
6/12/2023,2012491,NRS_WI-10087,NRS18_WI_10006,7/12/2018,1,WI,PROB,,Y,UMW,BERW,WSA,6.03,6.9,2.86,6.87,8.33,5.94,61.55,Good
6/12/2023,2012492,NRS_OK-10053,NRS18_OK_10001,7/16/2018,2,OK,PROB,,Y,SPL,BERW,WSA,2.4,8.48,7.14,3.1,4.67,2.86,47.75,Good
6/12/2023,2012493,NRS_OK-10220,NRS18_OK_11085,7/16/2018,1,OK,PROB,,Y,SPL,BERW,WSA,2.45,4.45,1.43,2.95,3.33,1.43,26.73,Fair
6/12/2023,2012494,NRS_WI-10201,NRS18_WI_10053,7/16/2018,1,WI,PROB,,Y,UMW,BERW,WSA,1.35,1.1,0,5.42,0.56,0.83,15.43,Poor
6/12/2023,2012495,NRS_OK-10196,NRS18_OK_10053,7/17/2018,1,OK,PROB,,Y,SPL,BERW,WSA,0.19,1.56,0,0.89,1.33,1.43,9,Poor
6/12/2023,2012496,NRS_OK-10047,NRS18_OK_10050,7/17/2018,2,OK,PROB,,Y,SPL,BERW,WSA,10,4.55,0,4.19,4,0,37.9,Good
6/12/2023,2012497,NRS_WI-10184,NRS18_WI_10036,7/17/2018,1,WI,PROB,,Y,UMW,BERW,WSA,6.52,0,0,6.48,0,1.67,24.45,Fair
6/12/2023,2012498,NRS_WI-10186,NRS18_WI_10038,7/18/2018,1,WI,PROB,,Y,TPL,BERW,WSA,2.22,5.91,3.75,5.29,1,5.98,40.25,Fair
6/12/2023,2012499,NRS_WI-10158,NRS18_WI_10019,7/19/2018,1,WI,PROB,,Y,UMW,BERW,WSA,5.61,0,0,3.85,1.11,0.34,18.18,Poor
6/12/2023,2012500,NRS_NC-10122,NRS18_NC_10014,7/19/2018,1,NC,PROB,,Y,SAP,BERW,WSA,8.23,7.27,7.78,7.81,8,6.92,76.68,Good
6/12/2023,2012501,NRS_OK-10107,NRS18_OK_10023,7/23/2018,1,OK,PROB,,Y,SAP,BERW,WSA,6.65,7.63,6.67,2.9,6.5,0.21,50.93,Good
6/12/2023,2012502,NRS_OK-10064,NRS18_OK_10029,7/24/2018,1,OK,PROB,,Y,CPL,BETB,WSA,8.37,2.84,1.25,0.59,0,5.63,31.13,Poor
6/12/2023,2012503,NRS_OK-10155,NRS18_OK_10018,8/28/2018,1,OK,PROB,,Y,SPL,BERW,WSA,3.19,6.64,10,5.52,2,1.43,47.97,Good
6/12/2023,2012504,NRS_OK-10102,NRS18_OK_10022,9/4/2018,2,OK,PROB,,Y,CPL,BETB,WSA,9.08,5.33,3.75,4.19,6.88,4.22,55.75,Good
6/12/2023,2012505,NRS_DE-10009,NRS18_DE_10002,9/5/2018,1,DE,PROB,,Y,CPL,,,,,,,,,,Not Assessed
6/12/2023,2012506,NRS_OK-10091,NRS18_OK_10003,9/10/2018,1,OK,PROB,,Y,SPL,BERW,WSA,5.32,6.26,5.71,3.31,2.67,4.29,45.93,Good
6/12/2023,2012507,NRS_OK-10212,NRS18_OK_10830,9/11/2018,1,OK,PROB,,Y,SAP,BERW,WSA,5.43,8.27,5.56,5.1,7.5,3.02,58.13,Good
6/12/2023,2012508,NRS_OK-10056,NRS18_OK_10034,9/12/2018,1,OK,PROB,,Y,SAP,BETB,WSA,3.47,9.57,4.44,1.79,3.5,0,37.95,Fair
6/12/2023,2012509,NRS_DE-10009,NRS18_DE_10002,9/19/2018,2,DE,PROB,,Y,CPL,,,,,,,,,,Not Assessed
6/12/2023,2012510,NRS_OK-10226,NRS18_OK_11422,6/3/2019,1,OK,PROB,,Y,SPL,BERW,WSA,1.53,4.27,0,1.96,2,1.43,18.65,Poor
6/12/2023,2012511,NRS_OK-10205,NRS18_OK_10340,9/17/2019,1,OK,PROB,,Y,TPL,BETB,WSA,4.9,5.11,1.25,4.71,6,7.52,49.15,Good
6/12/2023,2012512,NRS_KS-10247,NRS18_KS_10098,5/7/2018,1,KS,PROB,,Y,SPL,BERW,WSA,0,0,0,3.57,0,0,5.95,Poor
6/12/2023,2012513,NRS_KS-10235,NRS18_KS_10086,5/14/2018,1,KS,PROB,,Y,SPL,BERW,WSA,1.58,4.55,2.86,5.42,3.33,0,29.57,Fair
6/12/2023,2012514,NRS_OH-10083,NRS18_OH_10050,5/29/2018,1,OH,PROB,,Y,TPL,BETB,WSA,2.72,10,10,7.65,3,4.1,62.45,Good
6/12/2023,2012515,NRS_KS-10252,NRS18_KS_10103,5/29/2018,1,KS,PROB,,Y,SPL,BERW,WSA,0,3.27,1.43,0.89,0,2.86,14.08,Poor
6/12/2023,2012516,NRS_OH-10097,NRS18_OH_10023,5/30/2018,1,OH,PROB,,Y,SAP,BERW,WSA,0.36,0,0,8.7,0,3.52,20.97,Poor
6/12/2023,2012517,NRS_KY-10059,NRS18_KY_10006,5/31/2018,1,KY,PROB,,Y,SAP,BERW,WSA,10,0.5,0,2.32,1,3.02,28.07,Poor
6/12/2023,2012518,NRS_TX-10091,NRS18_TX_10016,6/4/2018,1,TX,PROB,,Y,CPL,BERW,WSA,9.96,0,0,0,0,0,16.6,Poor
6/12/2023,2012519,NRS_OH-10087,NRS18_OH_10014,6/4/2018,1,OH,PROB,,Y,TPL,BERW,WSA,0,5.8,5,1.76,0,0,20.93,Poor
6/12/2023,2012520,NRS_KS-10249,NRS18_KS_10100,6/4/2018,1,KS,PROB,,Y,SPL,BERW,WSA,1.12,8.1,2.86,6.1,0.67,0,31.42,Fair
6/12/2023,2012521,NRS_MI-10132,NRS18_MI_10033,6/5/2018,1,MI,PROB,,Y,UMW,BERW,WSA,1.04,0.9,0,0.78,0,0,4.53,Poor
6/12/2023,2012522,NRS_PA-10053,NRS18_PA_10004,6/5/2018,1,PA,PROB,,Y,NAP,BERW,WSA,8.22,5.47,10,7.3,10,5.62,77.68,Good
6/12/2023,2012523,NRS_IL-10139,NRS18_IL_10363,6/5/2018,1,IL,PROB,,Y,TPL,BERW,WSA,0.67,5.85,3.75,3.53,0,3.37,28.62,Fair
6/12/2023,2012524,NRS_GA-10058,NRS18_GA_10003,6/5/2018,1,GA,PROB,,Y,SAP,BERW,WSA,0,3.24,0,2.05,1,2.79,15.13,Poor
6/12/2023,2012525,NRS_OH-10103,NRS18_OH_10029,6/5/2018,1,OH,PROB,,Y,TPL,BERW,WSA,0.75,8.12,7.5,7.06,2,0.81,43.73,Good
6/12/2023,2012526,NRS_KS-10224,NRS18_KS_10043,6/5/2018,1,KS,PROB,,Y,SPL,BERW,WSA,0.2,4.5,0,0,0,1.43,10.22,Poor
6/12/2023,2012527,NRS_WV-10053,NRS18_WV_10010,6/5/2018,1,WV,PROB,,Y,SAP,BERW,WSA,8.45,3.53,4.44,8.7,5,10,66.87,Good
6/12/2023,2012528,NRS_OK-10053,NRS18_OK_10001,6/4/2018,1,OK,PROB,,Y,SPL,BERW,WSA,1.07,3.55,7.14,3.57,2,1.43,31.27,Fair
6/12/2023,2012529,NRS_VT-10148,NRS18_VT_10034,6/4/2018,1,VT,PROB,,Y,NAP,BERW,WSA,5.36,8.09,10,5.41,7.14,4.64,67.73,Good
6/12/2023,2012530,NRS_OK-10065,NRS18_OK_10002,6/5/2018,1,OK,PROB,,Y,SPL,BERW,WSA,2.14,8.86,7.14,1.96,4,1.43,42.55,Good
6/12/2023,2012531,NRS_VT-10138,NRS18_VT_10011,6/5/2018,1,VT,PROB,,Y,NAP,BERW,WSA,8.21,9.94,5.56,5.42,10,7.35,77.47,Good
6/12/2023,2012532,NRS_OK-10109,NRS18_OK_10045,6/5/2018,1,OK,PROB,,Y,SPL,BERW,WSA,6.33,5.59,4.29,4.72,2,0,38.22,Good
6/12/2023,2012533,NRS_CA-11197,NRS18_CA_10048,6/5/2018,1,CA,PROB,,Y,WMT,BERW,WSA,0,2.19,0,1.76,0,1.9,9.75,Poor
6/12/2023,2012534,NRS_WI-10178,NRS18_WI_10030,6/5/2018,1,WI,PROB,,Y,TPL,BERW,WSA,0.13,0,1.25,4.12,0,5.22,17.87,Poor
6/12/2023,2012535,NRS_SD-10452,NRS18_SD_10038,6/5/2018,1,SD,PROB,,Y,NPL,BERW,WSA,0.71,8.32,6,3.57,2.86,1.25,37.85,Poor
6/12/2023,2012536,NRS_TX-10305,NRS18_TX_10055,6/5/2018,1,TX,PROB,,Y,SPL,BETB,WSA,1.43,5.64,2.86,2.84,6,1.43,33.67,Fair
6/12/2023,2012537,NRS_MI-10155,NRS18_MI_10056,6/6/2018,1,MI,PROB,,Y,UMW,BETB,WSA,4.99,2.77,0,1.8,0.56,1.99,20.18,Poor
6/12/2023,2012538,NRS_PA-10080,NRS18_PA_10021,6/6/2018,1,PA,PROB,,Y,NAP,BERW,WSA,7.51,2.83,6.67,5.69,8.57,5.86,61.88,Good
6/12/2023,2012539,NRS_CA-10784,NRS18_CA_10011,6/6/2018,1,CA,PROB,,Y,XER,BERW,WSA,10,4.75,2.86,4.53,4.12,6.4,54.43,Fair
6/12/2023,2012540,NRS_GA-10050,NRS18_GA_10001,6/6/2018,1,GA,PROB,,Y,SAP,BERW,WSA,2.46,6.19,0,0,1.5,0,16.92,Poor
6/12/2023,2012541,NRS_WV-10078,NRS18_WV_10031,6/6/2018,1,WV,PROB,,Y,SAP,BERW,WSA,0,1.8,0,2.62,0,5.84,17.1,Poor
6/12/2023,2012542,NRS_TN-10059,NRS18_TN_10006,6/6/2018,1,TN,PROB,,Y,SAP,BETB,WSA,0,3.81,0,0,0,1.03,8.07,Poor
6/12/2023,2012543,NRS_OH-10107,NRS18_OH_10033,6/6/2018,1,OH,PROB,,Y,TPL,BETB,WSA,0,2.78,2.5,1.76,0,0,11.73,Poor
6/12/2023,2012544,NRS_IL-10081,NRS18_IL_10054,6/6/2018,1,IL,PROB,,Y,TPL,BERW,WSA,1.38,6.76,3.75,2.35,2,0.78,28.37,Fair
6/12/2023,2012545,NRS_LA-10079,NRS18_LA_10002,6/6/2018,1,LA,PROB,,Y,CPL,BETB,WSA,1.07,5.92,3.75,1.55,1.25,1.32,24.77,Poor
6/12/2023,2012546,NRS_TN-10145,NRS18_TN_10026,6/6/2018,1,TN,PROB,,Y,SAP,BETB,WSA,0,1.58,0,0,0,0,2.63,Poor
6/12/2023,2012547,NRS_NY-10081,NRS18_NY_10010,6/6/2018,1,NY,PROB,,Y,NAP,BERW,WSA,5.15,3.02,4.44,6.21,4.29,7.75,51.43,Fair
6/12/2023,2012548,NRS_WV-10071,NRS18_WV_10015,6/7/2018,1,WV,PROB,,Y,SAP,BERW,WSA,1.26,5.47,1.11,6.45,4.5,5.45,40.4,Fair
6/12/2023,2012549,NRS_OH-10075,NRS18_OH_10012,6/7/2018,1,OH,PROB,,Y,TPL,BETB,WSA,0.84,5.06,7.5,5.29,3,2.29,39.97,Fair
6/12/2023,2012550,NRS_IL-10046,NRS18_IL_10003,6/7/2018,1,IL,PROB,,Y,TPL,BERW,WSA,0,2.67,1.25,0,0,0,6.53,Poor
6/12/2023,2012551,NRS_LA-10192,NRS18_LA_10010,6/6/2018,1,LA,PROB,,Y,CPL,BETB,WSA,4.85,0,1.25,0.59,0,7.5,23.65,Poor
