UID,PHYLUM,CLASS,ORDER,FAMILY,GENUS,TARGET_TAXON,TAXA_ID,TOTAL300,IS_DISTINCT300,LAT_DD83,LON_DD83,STRAH_CAT,EPA_REG,SITE_ID,YEAR,DATE_COL,VISIT_NO,SAMPLE_TYPE,MMI_BENT,BENT_MMI_COND,nearest_station_id
2014737,ARTHROPODA,MALACOSTRACA,DECAPODA,CAMBARIDAE,FAXONIUS,FAXONIUS,5131,1,1,35.5453888599591,-99.72270533,SmallStreams,Region_06,NRS18_OK_10062,2018,6/20/2018,1,BERW,28.78,Fair,USC00341743
2012488,ARTHROPODA,INSECTA,DIPTERA,TABANIDAE,,TABANIDAE,4340,1,1,36.9021683891269,-95.16425506,SmallStreams,Region_06,NRS18_OK_10431,2018,6/25/2018,1,BERW,31.3,Fair,USC00344258
2012489,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,,CHIRONOMIDAE,3581,2,0,33.9294492359917,-96.0702418,LargeStreams,Region_06,NRS18_OK_10025,2018,7/2/2018,1,BERW,51.6,Fair,USC00340917
2012490,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,,CHIRONOMIDAE,3581,,,42.5368677046374,-89.39556013,SmallStreams,Region_05,NRS18_WI_10091,2018,7/2/2018,1,BERW,21.53,Poor,US1ILSP0027
2012491,ARTHROPODA,ARACHNIDA,TROMBIDIFORMES,TORRENTICOLIDAE,TORRENTICOLA,TORRENTICOLA,4371,,,45.4962572181728,-87.98249295,LargeStreams,Region_05,NRS18_WI_10006,2018,7/12/2018,1,BERW,61.55,Good,US1WIMR0003
2012492,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,POLYPEDILUM,POLYPEDILUM,4178,7,1,,,,Region_06,NRS18_OK_10001,,7/16/2018,2,BERW,47.75,,ACW00011604
2012493,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,,THIENEMANNIMYIA GENUS GR.,4362,2,1,36.7144156634049,-97.79295371,LargeStreams,Region_06,NRS18_OK_11085,2018,7/16/2018,1,BERW,26.73,Fair,US1OKGT0004
2012494,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,STICTOCHIRONOMUS,STICTOCHIRONOMUS,4315,4,1,44.558195944284,-90.32250897,LargeStreams,Region_05,NRS18_WI_10053,2018,7/16/2018,1,BERW,15.43,Poor,US1WIWD0021
2012495,ANNELIDA,OLIGOCHAETA,HAPLOTAXIDA,TUBIFICIDAE,,TUBIFICIDAE,4391,2,1,35.8853626051472,-97.61348318,RiversMajor,Region_06,NRS18_OK_10053,2018,7/17/2018,1,BERW,9,Poor,US1OKLG0007
2012496,ARTHROPODA,INSECTA,DIPTERA,CERATOPOGONIDAE,,CERATOPOGONIDAE,3566,1,0,,,,Region_06,NRS18_OK_10050,,7/17/2018,2,BERW,37.9,,ACW00011604
2012497,ARTHROPODA,ARACHNIDA,TROMBIDIFORMES,LEBERTIIDAE,LEBERTIA,LEBERTIA,3892,,,44.6891556898351,-91.36509269,SmallStreams,Region_05,NRS18_WI_10036,2018,7/17/2018,1,BERW,24.45,Fair,US1WIEC0002
2012498,ARTHROPODA,INSECTA,DIPTERA,EMPIDIDAE,HEMERODROMIA,HEMERODROMIA,3799,1,1,44.7900719047724,-92.52999391,LargeStreams,Region_05,NRS18_WI_10038,2018,7/18/2018,1,BERW,40.25,Fair,US1WIPC0007
2012499,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,POLYPEDILUM,POLYPEDILUM,4178,9,1,44.818435381892,-91.87926357,SmallStreams,Region_05,NRS18_WI_10019,2018,7/19/2018,1,BERW,18.18,Poor,US1WIDN0017
2012500,ARTHROPODA,INSECTA,EPHEMEROPTERA,HEPTAGENIIDAE,,HEPTAGENIIDAE,3802,5,0,36.2738953556503,-81.87095586,LargeStreams,Region_04,NRS18_NC_10014,2018,7/19/2018,1,BERW,76.68,Good,US1NCAV0002
2012501,ARTHROPODA,INSECTA,TRICHOPTERA,HYDROPTILIDAE,,HYDROPTILIDAE,3847,1,0,35.1481488020214,-94.70189843,RiversOther,Region_06,NRS18_OK_10023,2018,7/23/2018,1,BERW,50.93,Good,US1OKLF0003
2012502,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,TANYTARSUS,TANYTARSUS,4348,1,1,33.9122163262306,-95.54936002,RiversMajor,Region_06,NRS18_OK_10029,2018,7/24/2018,1,BETB,31.13,Poor,USC00410367
2012503,ARTHROPODA,INSECTA,TRICHOPTERA,HYDROPTILIDAE,HYDROPTILA,HYDROPTILA,3846,1,1,36.7601225147135,-96.2895561,SmallStreams,Region_06,NRS18_OK_10018,2018,8/28/2018,1,BERW,47.97,Good,US1OKOS0011
2012504,MOLLUSCA,GASTROPODA,BASOMMATOPHORA,ANCYLIDAE,FERRISSIA,FERRISSIA,3735,,,,,,Region_06,NRS18_OK_10022,,9/4/2018,2,BETB,55.75,,ACW00011604
2012506,ARTHROPODA,INSECTA,ODONATA,GOMPHIDAE,PROGOMPHUS,PROGOMPHUS,4194,12,1,35.9654531627316,-96.36807127,LargeStreams,Region_06,NRS18_OK_10003,2018,9/10/2018,1,BERW,45.93,Good,USC00344098
